http://13.232.245.132:80,IN,Mumbai
http://103.23.236.190:8080,IN,Unknown
http://49.207.177.65:5678,IN,Chennai
http://103.93.193.141:58080,IN,Thāne
http://136.232.116.2:43314,IN,Eluru
http://122.160.30.99:80,IN,New Delhi
http://115.248.66.131:3129,IN,Unknown
http://210.16.86.105:5678,IN,Cuddalore
http://103.48.71.126:83,IN,Hyderabad
http://103.48.68.220:83,IN,Hyderabad
http://117.198.221.34:4153,IN,Bengaluru
http://103.251.223.158:6137,IN,Unknown
http://103.159.46.2:83,IN,Ahmedabad
http://111.125.242.34:1111,IN,Mumbai
http://103.88.237.97:84,IN,Hyderabad
http://103.161.31.249:83,IN,Hyderabad
http://103.125.154.1:8080,IN,Unknown
http://45.116.230.79:8080,IN,Kochi
http://103.48.71.114:83,IN,Hyderabad
http://103.76.190.37:31756,IN,Ambur
http://164.52.192.156:80,IN,Unknown
http://27.121.101.5:5678,IN,Nadiād
http://185.226.207.4:5553,IN,Mumbai
http://185.226.204.40:5593,IN,Mumbai
http://103.55.104.57:8080,IN,Unknown
http://185.226.204.134:5687,IN,Mumbai
http://45.249.77.145:83,IN,Hyderabad
http://103.55.106.150:1080,IN,Unknown
http://139.59.59.122:8118,IN,Bengaluru
http://103.149.194.79:32650,IN,Unknown
http://103.48.70.161:83,IN,Hyderabad
http://103.125.160.178:80,IN,Hyderabad
http://185.226.207.11:5560,IN,Mumbai
http://202.179.76.105:51951,IN,Mumbai
http://103.155.130.241:8080,IN,Unknown
http://103.59.200.26:4145,IN,Mumbai
http://117.251.103.186:8080,IN,Unknown
http://112.196.79.14:3129,IN,Chandigarh
http://103.37.82.134:39873,IN,Dehradun
http://103.130.106.153:83,IN,Kolkata
http://103.178.176.14:8080,IN,Kolasib
http://103.249.237.158:8888,IN,Aligarh
http://111.92.88.27:3128,IN,Bengaluru
http://119.235.49.121:4153,IN,Siddipet
http://103.48.71.34:84,IN,Hyderabad
http://103.80.118.33:8080,IN,Mumbai
http://68.233.119.157:3128,IN,Hyderabad
http://103.48.68.171:83,IN,Hyderabad
http://103.80.168.9:1080,IN,Unknown
http://103.176.187.228:9090,IN,Pune
http://103.242.119.88:80,IN,Unknown
http://144.48.49.217:8080,IN,Neyveli
http://103.48.71.2:83,IN,Hyderabad
http://185.226.204.96:5649,IN,Mumbai
http://119.235.50.246:4153,IN,Visakhapatnam
http://185.226.204.114:5667,IN,Mumbai
http://103.253.153.22:32650,IN,Unknown
http://45.249.79.190:3629,IN,Guntur
