socks4://200.105.192.6:5678,BO,La Paz
socks4://181.115.207.114:1080,BO,Santa Cruz
http://200.58.82.209:999,BO,Unknown
http://186.121.244.178:8080,BO,Unknown
http://190.186.237.103:80,BO,Santa Cruz
http://181.115.207.114:1080,BO,Santa Cruz
http://190.186.18.161:999,BO,Santa Cruz
http://181.115.200.59:3129,BO,Santa Cruz
