socks4://190.13.147.241:5678,CL,San Pedro de la Paz
socks4://190.54.100.74:5678,CL,Santiago
https://200.75.11.94:443,CL,Santiago
https://129.151.121.143:443,CL,Santiago
http://38.7.195.52:999,CL,Santiago
http://170.245.50.65:8080,CL,Santiago
http://190.121.4.157:999,CL,Valdivia
http://152.230.215.123:80,CL,Santiago
http://38.7.195.49:999,CL,Santiago
http://45.180.26.1:999,CL,Unknown
http://38.7.206.186:999,CL,Santiago
http://45.4.0.12:999,CL,Santiago
http://38.7.195.53:999,CL,Santiago
http://179.1.182.25:999,CL,Santiago
http://179.1.182.28:999,CL,Santiago
http://45.166.144.2:999,CL,Santiago
http://190.54.100.74:8080,CL,Santiago
http://179.57.172.172:999,CL,Curicó
http://201.238.248.134:443,CL,Unknown
http://146.83.118.9:80,CL,Antofagasta
http://45.225.185.63:999,CL,Melipilla
http://45.162.135.201:999,CL,Santiago
http://207.248.0.193:999,CL,Requinoa
http://38.7.207.92:80,CL,Santiago
http://45.181.122.74:999,CL,Santiago
http://45.178.133.60:999,CL,Renca
http://45.162.132.1:999,CL,Puente Alto
http://38.7.195.15:999,CL,Santiago
http://38.7.195.51:999,CL,Santiago
