socks4://85.117.32.166:4153,GE,Unknown
https://195.54.178.210:443,GE,Tbilisi
https://195.54.178.210:9443,GE,Tbilisi
http://85.117.62.70:8080,GE,Tbilisi
http://85.117.61.110:8080,GE,Tbilisi
