socks5://160.19.16.86:1080,ID,Tanjungbalai
http://103.171.183.255:1111,ID,Unknown
http://202.47.184.22:8085,ID,Unknown
http://103.169.254.45:6080,ID,Unknown
http://157.20.128.186:8080,ID,Unknown
http://149.100.71.94:8181,ID,Unknown
http://154.19.38.123:8097,ID,Unknown
http://165.99.151.252:8080,ID,Unknown
http://103.191.196.219:8080,ID,Unknown
http://210.79.142.217:8085,ID,Unknown
http://103.118.175.107:8080,ID,Unknown
http://103.19.78.127:3125,ID,Unknown
http://103.22.99.43:8085,ID,Unknown
http://157.10.184.201:8080,ID,Unknown
http://43.245.249.22:7878,ID,Unknown
http://103.156.233.57:8080,ID,Unknown
http://103.165.247.34:8080,ID,Unknown
http://103.124.136.251:8080,ID,Unknown
http://103.208.100.74:7777,ID,Unknown
http://103.229.164.178:3128,ID,Unknown
http://103.172.17.28:8080,ID,Unknown
http://103.170.22.145:8080,ID,Unknown
http://103.169.39.255:8080,ID,Unknown
http://103.157.78.122:8090,ID,Unknown
http://103.193.144.5:8181,ID,Unknown
http://103.59.45.249:8080,ID,Unknown
http://103.166.159.115:8010,ID,Unknown
http://103.67.80.123:1111,ID,Unknown
http://124.158.186.195:1111,ID,Unknown
http://103.147.134.115:8082,ID,Unknown
http://103.162.63.166:1111,ID,Unknown
http://103.175.80.202:8080,ID,Unknown
http://103.174.122.230:8080,ID,Unknown
http://103.171.241.18:1000,ID,Unknown
http://103.184.67.119:8080,ID,Unknown
http://103.172.24.166:8080,ID,Unknown
http://103.76.108.106:8080,ID,Unknown
http://103.106.115.118:8097,ID,Unknown
http://103.160.205.208:8097,ID,Unknown
http://160.187.174.82:8080,ID,Unknown
http://112.78.134.134:7777,ID,Unknown
http://223.25.110.205:7777,ID,Unknown
http://103.175.237.36:8080,ID,Unknown
http://103.157.24.205:3125,ID,Unknown
http://160.191.192.53:8090,ID,Unknown
http://103.159.196.115:3125,ID,Unknown
http://103.177.199.98:1111,ID,Unknown
http://36.91.148.36:8080,ID,Unknown
http://165.99.151.254:10001,ID,Unknown
http://103.156.16.179:8818,ID,Unknown
http://103.168.44.212:49151,ID,Unknown
http://103.231.203.234:8080,ID,Unknown
http://157.20.253.163:8080,ID,Unknown
http://110.136.60.36:8080,ID,Unknown
http://103.167.31.155:8080,ID,Unknown
http://160.19.16.86:1111,ID,Unknown
http://157.20.98.60:1111,ID,Unknown
http://112.78.181.90:3128,ID,Unknown
http://103.18.77.24:1111,ID,Unknown
http://67.43.236.20:23843,ID,Unknown
http://72.10.160.90:31071,ID,Unknown
http://67.43.236.19:8705,ID,Unknown
http://72.10.160.90:13547,ID,Unknown
http://72.10.160.173:26993,ID,Unknown
socks4://222.165.223.138:41541,ID,Jakarta
socks4://36.67.88.77:4153,ID,Bekasi
